id,review_text,product_name,rating,created_at
1,物流速度很快，次日到达,智能音箱,3,2024-06-06
2,防水效果很好,便携充电宝,4,2024-11-23
3,价格实惠，性价比很高,智能手表,5,2024-06-17
4,做工精良，手感很好,智能音箱,3,2024-05-13
5,客服态度很好，解决问题很快,无线蓝牙耳机,5,2024-11-28
6,颜色和图片一样，很漂亮,运动手环,3,2024-01-29
7,物流速度很快，次日到达,游戏鼠标,3,2024-03-12
8,整体满意，会再次购买,无线蓝牙耳机,4,2024-05-15
9,性能稳定，运行流畅,运动手环,3,2024-07-25
10,外观设计很时尚,平板电脑支架,5,2024-04-08
11,整体满意，会再次购买,智能手表,5,2024-08-30
12,信号稳定，网速快,游戏鼠标,5,2024-06-28
13,音质清晰，低音效果好,空气净化器,3,2024-05-16
14,材质不错，做工精细,扫地机器人,3,2024-08-25
15,散热良好，长时间使用不发热,智能音箱,3,2024-04-22
16,包装精美，适合送礼,网络摄像头,3,2024-07-17
17,发货很快，包装完好,空气净化器,5,2024-11-14
18,整体满意，会再次购买,智能手表,3,2024-09-24
19,信号稳定，网速快,手机壳,3,2024-11-02
20,颜色选择多，喜欢这款,运动手环,4,2024-01-22
21,价格实惠，性价比很高,机械键盘,5,2024-07-24
22,做工精良，手感很好,运动手环,4,2024-02-12
23,整体满意，会再次购买,扫地机器人,5,2024-12-15
24,尺寸合适，穿着舒服,扫地机器人,4,2024-11-21
25,价格实惠，性价比很高,4K显示器,5,2024-08-24
26,整体满意，会再次购买,手机壳,3,2024-10-29
27,发货很快，包装完好,空气净化器,3,2024-04-16
28,信号稳定，网速快,运动手环,3,2024-10-28
29,售后服务很好,扫地机器人,3,2024-06-18
30,防水效果很好,笔记本支架,5,2024-01-17
31,颜色选择多，喜欢这款,无线蓝牙耳机,4,2024-10-07
32,做工精良，手感很好,平板电脑支架,5,2024-02-22
33,功能齐全，操作简单,运动手环,3,2024-09-15
34,客服态度很好，解决问题很快,机械键盘,4,2024-04-18
35,防水效果很好,智能手表,3,2024-10-05
36,颜色和图片一样，很漂亮,空气净化器,4,2024-06-23
37,物流速度很快，次日到达,智能音箱,5,2024-09-19
38,安装简单，说明书清晰,机械键盘,3,2024-01-01
39,音质清晰，低音效果好,空气净化器,4,2024-08-25
40,颜色和图片一样，很漂亮,无线蓝牙耳机,3,2024-03-08
41,安装简单，说明书清晰,扫地机器人,4,2024-03-30
42,物流速度很快，次日到达,4K显示器,4,2024-11-16
43,售后服务很好,游戏鼠标,5,2024-11-30
44,重量轻便，便于携带,无线蓝牙耳机,3,2024-04-13
45,性能稳定，运行流畅,网络摄像头,3,2024-02-24
46,客服态度很好，解决问题很快,网络摄像头,3,2024-12-16
47,包装精美，适合送礼,USB集线器,5,2024-01-08
48,性能稳定，运行流畅,网络摄像头,5,2024-12-30
49,做工精良，手感很好,平板电脑支架,5,2024-03-11
50,屏幕显示效果好,机械键盘,3,2024-09-22
51,重量轻便，便于携带,笔记本支架,4,2024-04-11
52,功能齐全，操作简单,游戏鼠标,5,2024-02-16
53,物流速度很快，次日到达,机械键盘,3,2024-06-17
54,售后服务很好,运动手环,3,2024-01-01
55,包装精美，适合送礼,游戏鼠标,5,2024-03-25
56,材质不错，做工精细,扫地机器人,3,2024-01-30
57,客服态度很好，解决问题很快,笔记本支架,4,2024-09-22
58,整体满意，会再次购买,扫地机器人,4,2024-11-15
59,材质不错，做工精细,平板电脑支架,3,2024-07-22
60,材质不错，做工精细,扫地机器人,4,2024-09-01
61,重量轻便，便于携带,网络摄像头,3,2024-05-18
62,尺寸合适，穿着舒服,智能手表,5,2024-03-06
63,用了一周感觉不错，推荐购买,手机壳,3,2024-01-27
64,包装精美，适合送礼,游戏鼠标,3,2024-06-09
65,客服态度很好，解决问题很快,无线蓝牙耳机,5,2024-02-15
66,防水效果很好,智能手表,4,2024-03-10
67,信号稳定，网速快,USB集线器,3,2024-11-06
68,包装精美，适合送礼,网络摄像头,4,2024-05-12
69,颜色和图片一样，很漂亮,手机壳,4,2024-08-02
70,做工精良，手感很好,智能手表,4,2024-12-28
71,售后服务很好,笔记本支架,3,2024-04-07
72,电池续航不错,笔记本支架,3,2024-07-15
73,做工精良，手感很好,智能手表,3,2024-11-07
74,性能稳定，运行流畅,运动手环,5,2024-09-14
75,价格实惠，性价比很高,平板电脑支架,3,2024-09-04
76,尺寸合适，穿着舒服,无线蓝牙耳机,5,2024-02-25
77,重量轻便，便于携带,4K显示器,4,2024-12-19
78,信号稳定，网速快,网络摄像头,5,2024-10-06
79,重量轻便，便于携带,4K显示器,5,2024-09-14
80,物流速度很快，次日到达,便携充电宝,4,2024-01-19
81,整体满意，会再次购买,扫地机器人,4,2024-09-17
82,整体满意，会再次购买,机械键盘,4,2024-01-09
83,颜色和图片一样，很漂亮,空气净化器,5,2024-07-10
84,外观设计很时尚,无线蓝牙耳机,5,2024-02-27
85,包装精美，适合送礼,手机壳,4,2024-06-28
86,屏幕显示效果好,智能手表,5,2024-08-16
87,性能稳定，运行流畅,网络摄像头,3,2024-09-04
88,售后服务很好,网络摄像头,4,2024-05-01
89,屏幕显示效果好,机械键盘,5,2024-11-18
90,包装精美，适合送礼,无线蓝牙耳机,3,2024-11-22
91,颜色选择多，喜欢这款,游戏鼠标,3,2024-09-15
92,包装精美，适合送礼,机械键盘,5,2024-02-28
93,外观设计很时尚,智能音箱,5,2024-12-14
94,包装精美，适合送礼,游戏鼠标,5,2024-07-22
95,做工精良，手感很好,笔记本支架,4,2024-07-28
96,颜色选择多，喜欢这款,游戏鼠标,4,2024-09-01
97,安装简单，说明书清晰,笔记本支架,5,2024-10-08
98,音质清晰，低音效果好,机械键盘,5,2024-07-03
99,电池续航不错,手机壳,5,2024-08-05
100,安装简单，说明书清晰,智能手表,4,2024-07-11
101,包装精美，适合送礼,智能音箱,3,2024-05-21
102,用了一周感觉不错，推荐购买,智能手表,5,2024-02-18
103,客服态度很好，解决问题很快,4K显示器,5,2024-04-23
104,散热良好，长时间使用不发热,扫地机器人,4,2024-03-29
105,尺寸合适，穿着舒服,网络摄像头,3,2024-04-29
106,做工精良，手感很好,游戏鼠标,3,2024-11-03
107,材质不错，做工精细,空气净化器,3,2024-03-22
108,屏幕显示效果好,空气净化器,3,2024-02-14
109,重量轻便，便于携带,无线蓝牙耳机,4,2024-05-20
110,用了一周感觉不错，推荐购买,游戏鼠标,5,2024-01-20
111,颜色选择多，喜欢这款,智能音箱,3,2024-08-02
112,散热良好，长时间使用不发热,空气净化器,3,2024-07-05
113,散热良好，长时间使用不发热,空气净化器,5,2024-05-22
114,物流速度很快，次日到达,4K显示器,5,2024-08-12
115,安装简单，说明书清晰,空气净化器,5,2024-09-19
116,电池续航不错,USB集线器,3,2024-08-10
117,客服态度很好，解决问题很快,扫地机器人,5,2024-03-16
118,用了一周感觉不错，推荐购买,运动手环,3,2024-09-26
119,防水效果很好,空气净化器,3,2024-06-05
120,整体满意，会再次购买,游戏鼠标,4,2024-06-03
